ChannelID,ChannelName,ChannelGroup,Tvg-id,Tvg-name,Logo,ChannelURL_igmp,ChannelURL_rtsp,TimeShift,TimeShiftLength,BackTime,Index,Resolution
2803,CCTV4中文国际,央视标清,CCTV4中文国际,CCTV4中文国际,CCTV4.png,233.50.201.4:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221227806/10000100000000060000000000304159_0.smil,1,7200,3,204.0,720x576
5376351,CCTV5体育,央视标清,CCTV5体育,CCTV5体育,CCTV5.png,233.50.201.17:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229122/10000100000000060000000005809146_0.smil,0,0,0,205.0,720x576
5376350,CCTV6电影,央视标清,CCTV6电影,CCTV6电影,CCTV6.png,233.50.201.18:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229165/10000100000000060000000005809145_0.smil,0,0,0,206.0,720x576
2812,CCTV7国防军事,央视标清,CCTV7国防军事,CCTV7国防军事,CCTV7.png,233.50.201.7:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221227782/10000100000000060000000000304168_0.smil,1,7200,3,207.0,720x576
5376349,CCTV8电视剧,央视标清,CCTV8电视剧,CCTV8电视剧,CCTV8.png,233.50.201.19:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229118/10000100000000060000000005809144_0.smil,0,0,0,208.0,720x576
2786,CCTV10科教,央视标清,CCTV10科教,CCTV10科教,CCTV10.png,233.50.201.10:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221227773/10000100000000060000000000304139_0.smil,1,7200,3,210.0,720x576
2808,CCTV11戏曲,央视标清,CCTV11戏曲,CCTV11戏曲,CCTV11.png,233.50.201.11:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221227777/10000100000000060000000000304164_0.smil,1,7200,3,211.0,720x576
2814,CCTV12社会与法,央视标清,CCTV12社会与法,CCTV12社会与法,CCTV12.png,233.50.201.12:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221227810/10000100000000060000000000304202_0.smil,1,7200,3,212.0,720x576
2807,CCTV13新闻,央视标清,CCTV13新闻,CCTV13新闻,CCTV13.png,233.50.201.13:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221227811/10000100000000060000000000304163_0.smil,1,7200,3,213.0,720x576
2785,CCTV14少儿,央视标清,CCTV14少儿,CCTV14少儿,CCTV14.png,233.50.201.14:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221227747/10000100000000060000000000304138_0.smil,1,7200,3,214.0,720x576
3850,CCTV15音乐,央视标清,CCTV15音乐,CCTV15音乐,CCTV15.png,233.50.201.15:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221227993/10000100000000060000000000794054_0.smil,1,7200,3,215.0,720x576
54864242,CCTV17农业农村,央视标清,CCTV17农业农村,CCTV17农业农村,CCTV17.png,233.50.201.35:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229176/54864243.smil,1,14400,3,217.0,720x576
74036078,CCTV16奥林匹克4K,4K超高清,CCTV16奥林匹克,CCTV16奥林匹克,CCTV16.png,233.50.201.63:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229331/74036079.smil,0,0,0,301.0,3840x2160
128124468,北京卫视4K,4K超高清,北京卫视4K,北京卫视4K,北京卫视4K.png,233.50.202.100:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229453/128124469.smil,0,0,0,302.0,3840x2160
131699759,广东卫视4K,4K超高清,广东卫视4K,广东卫视4K,广东卫视4K.png,233.50.202.101:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229456/131699760.smil,0,0,0,303.0,3840x2160
131699789,深圳卫视4K,4K超高清,深圳卫视4K,深圳卫视4K,深圳卫视4K.png,233.50.202.102:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229455/131699790.smil,0,0,0,304.0,3840x2160
136086102,浙江卫视4K,4K超高清,浙江卫视4K,浙江卫视4K,浙江卫视.png,233.50.202.104:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229473/136086103.smil,0,0,0,305.0,3840x2160
136083231,东方卫视4K,4K超高清,东方卫视4K,东方卫视4K,东方卫视.png,233.50.202.105:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229460/136083232.smil,0,0,0,306.0,3840x2160
136083239,湖南卫视4K,4K超高清,湖南卫视4K,湖南卫视4K,湖南卫视.png,233.50.202.106:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229464/136083240.smil,0,0,0,307.0,3840x2160
136083266,江苏卫视4K,4K超高清,江苏卫视4K,江苏卫视4K,江苏卫视.png,233.50.202.107:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229468/136083267.smil,0,0,0,308.0,3840x2160
136083194,四川卫视4K,4K超高清,四川卫视4K,四川卫视4K,四川卫视.png,233.50.202.109:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229470/136083195.smil,0,0,0,309.0,3840x2160
136083250,山东卫视4K,4K超高清,山东卫视4K,山东卫视4K,山东卫视.png,233.50.202.108:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229467/136083251.smil,0,0,0,310.0,3840x2160
3844,浙江卫视高清,卫视高清,浙江卫视高清,浙江卫视高清,浙江卫视.png,233.50.201.100:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228012/10000100000000060000000000794032_0.smil,1,14400,7,401.0,1920x1080
3849,深圳卫视高清,卫视高清,深圳卫视高清,深圳卫视高清,深圳卫视.png,233.50.201.101:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221227988/10000100000000060000000000794038_0.smil,1,14400,7,402.0,1920x1080
3845,广东卫视高清,卫视高清,广东卫视高清,广东卫视高清,广东卫视.png,233.50.201.102:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228011/10000100000000060000000000794034_0.smil,1,14400,7,403.0,1920x1080
3848,湖南卫视高清,卫视高清,湖南卫视高清,湖南卫视高清,湖南卫视.png,233.50.201.103:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221227983/10000100000000060000000000794037_0.smil,1,14400,7,404.0,1920x1080
3846,天津卫视高清,卫视高清,天津卫视高清,天津卫视高清,天津卫视.png,233.50.201.104:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228016/10000100000000060000000000794035_0.smil,1,14400,7,405.0,1920x1080
3847,山东卫视高清,卫视高清,山东卫视高清,山东卫视高清,山东卫视.png,233.50.201.105:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221227978/10000100000000060000000000794036_0.smil,1,14400,7,406.0,1920x1080
4345,江苏卫视高清,卫视高清,江苏卫视高清,江苏卫视高清,江苏卫视.png,233.50.201.106:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228067/10000100000000060000000001063212_0.smil,1,14400,7,407.0,1920x1080
